Town,Year,Crime Type,Measure Type,Variable,Value
East Haddam,2013,Total Crime,"Rate (per 100,000)",Crime Index,954.9
East Hampton,2013,Total Crime,"Rate (per 100,000)",Crime Index,1021.7
East Hartford,2013,Total Crime,"Rate (per 100,000)",Crime Index,3120.7
East Haven,2013,Total Crime,"Rate (per 100,000)",Crime Index,2638.4
East Lyme,2013,Total Crime,"Rate (per 100,000)",Crime Index,1108.5
East Windsor,2013,Total Crime,"Rate (per 100,000)",Crime Index,3309.9
Eastford,2013,Total Crime,"Rate (per 100,000)",Crime Index,936.8
Easton,2013,Total Crime,"Rate (per 100,000)",Crime Index,403.9
Ellington,2013,Total Crime,"Rate (per 100,000)",Crime Index,513.2
Enfield,2013,Total Crime,"Rate (per 100,000)",Crime Index,1900.6
Essex,2013,Total Crime,"Rate (per 100,000)",Crime Index,305.8
Fairfield,2013,Total Crime,"Rate (per 100,000)",Crime Index,1948
Farmington,2013,Total Crime,"Rate (per 100,000)",Crime Index,2725
Franklin,2013,Total Crime,"Rate (per 100,000)",Crime Index,1187.4
Glastonbury,2013,Total Crime,"Rate (per 100,000)",Crime Index,897.6
Goshen,2013,Total Crime,"Rate (per 100,000)",Crime Index,351.4
Granby,2013,Total Crime,"Rate (per 100,000)",Crime Index,998.2
Greenwich,2013,Total Crime,"Rate (per 100,000)",Crime Index,738.1
Griswold,2013,Total Crime,"Rate (per 100,000)",Crime Index,1165.8
Groton,2013,Total Crime,"Rate (per 100,000)",Crime Index,1892
Guilford,2013,Total Crime,"Rate (per 100,000)",Crime Index,1142.2
Haddam,2013,Total Crime,"Rate (per 100,000)",Crime Index,450.1
Hamden,2013,Total Crime,"Rate (per 100,000)",Crime Index,2781.7
Hampton,2013,Total Crime,"Rate (per 100,000)",Crime Index,916.9
Hartford,2013,Total Crime,"Rate (per 100,000)",Crime Index,5072.2
Hartland,2013,Total Crime,"Rate (per 100,000)",Crime Index,94.1
Harwinton,2013,Total Crime,"Rate (per 100,000)",Crime Index,610
Hebron,2013,Total Crime,"Rate (per 100,000)",Crime Index,429.2
Kent,2013,Total Crime,"Rate (per 100,000)",Crime Index,861.8
Killingly,2013,Total Crime,"Rate (per 100,000)",Crime Index,1225.1
Killingworth,2013,Total Crime,"Rate (per 100,000)",Crime Index,220.4
Lebanon,2013,Total Crime,"Rate (per 100,000)",Crime Index,548.5
Ledyard,2013,Total Crime,"Rate (per 100,000)",Crime Index,1025.6
Lisbon,2013,Total Crime,"Rate (per 100,000)",Crime Index,3166.5
Litchfield,2013,Total Crime,"Rate (per 100,000)",Crime Index,831.6
Lyme,2013,Total Crime,"Rate (per 100,000)",Crime Index,516.7
Madison,2013,Total Crime,"Rate (per 100,000)",Crime Index,599.5
Manchester,2013,Total Crime,"Rate (per 100,000)",Crime Index,2779.5
Mansfield,2013,Total Crime,"Rate (per 100,000)",Crime Index,1047
Marlborough,2013,Total Crime,"Rate (per 100,000)",Crime Index,481.2
Meriden,2013,Total Crime,"Rate (per 100,000)",Crime Index,2729.5
Middlebury,2013,Total Crime,"Rate (per 100,000)",Crime Index,1013.4
Middlefield,2013,Total Crime,"Rate (per 100,000)",Crime Index,789
Middletown,2013,Total Crime,"Rate (per 100,000)",Crime Index,1942.4
Milford,2013,Total Crime,"Rate (per 100,000)",Crime Index,2892.5
Monroe,2013,Total Crime,"Rate (per 100,000)",Crime Index,832
Montville,2013,Total Crime,"Rate (per 100,000)",Crime Index,1072.9
Morris,2013,Total Crime,"Rate (per 100,000)",Crime Index,493.8
Naugatuck,2013,Total Crime,"Rate (per 100,000)",Crime Index,2464.2
New Britain,2013,Total Crime,"Rate (per 100,000)",Crime Index,3343.9
New Canaan,2013,Total Crime,"Rate (per 100,000)",Crime Index,620.3
New Fairfield,2013,Total Crime,"Rate (per 100,000)",Crime Index,305.5
New Hartford,2013,Total Crime,"Rate (per 100,000)",Crime Index,809.2
New Haven,2013,Total Crime,"Rate (per 100,000)",Crime Index,5953.7
New London,2013,Total Crime,"Rate (per 100,000)",Crime Index,4007.8
New Milford,2013,Total Crime,"Rate (per 100,000)",Crime Index,1341.4
Newington,2013,Total Crime,"Rate (per 100,000)",Crime Index,2418.1
Newtown,2013,Total Crime,"Rate (per 100,000)",Crime Index,488.2
Norfolk,2013,Total Crime,"Rate (per 100,000)",Crime Index,1313.5
North Branford,2013,Total Crime,"Rate (per 100,000)",Crime Index,1205.7
North Canaan,2013,Total Crime,"Rate (per 100,000)",Crime Index,1215.7
North Haven,2013,Total Crime,"Rate (per 100,000)",Crime Index,2019.5
North Stonington,2013,Total Crime,"Rate (per 100,000)",Crime Index,1100.8
Norwalk,2013,Total Crime,"Rate (per 100,000)",Crime Index,2248.8
Norwich,2013,Total Crime,"Rate (per 100,000)",Crime Index,2969.3
Old Lyme,2013,Total Crime,"Rate (per 100,000)",Crime Index,665.2
Old Saybrook,2013,Total Crime,"Rate (per 100,000)",Crime Index,1096.7
Orange,2013,Total Crime,"Rate (per 100,000)",Crime Index,2426.8
Oxford,2013,Total Crime,"Rate (per 100,000)",Crime Index,578.8
Plainfield,2013,Total Crime,"Rate (per 100,000)",Crime Index,965.7
Plainville,2013,Total Crime,"Rate (per 100,000)",Crime Index,2892.1
Plymouth,2013,Total Crime,"Rate (per 100,000)",Crime Index,1734.7
Pomfret,2013,Total Crime,"Rate (per 100,000)",Crime Index,1247.2
Portland,2013,Total Crime,"Rate (per 100,000)",Crime Index,575
Preston,2013,Total Crime,"Rate (per 100,000)",Crime Index,1131.8
Prospect,2013,Total Crime,"Rate (per 100,000)",Crime Index,1153.3
Putnam,2013,Total Crime,"Rate (per 100,000)",Crime Index,2599.5
Redding,2013,Total Crime,"Rate (per 100,000)",Crime Index,538.4
Ridgefield,2013,Total Crime,"Rate (per 100,000)",Crime Index,304.5
Rocky Hill,2013,Total Crime,"Rate (per 100,000)",Crime Index,1618.9
Roxbury,2013,Total Crime,"Rate (per 100,000)",Crime Index,576.8
Salem,2013,Total Crime,"Rate (per 100,000)",Crime Index,687.6
Salisbury,2013,Total Crime,"Rate (per 100,000)",Crime Index,857.3
Scotland,2013,Total Crime,"Rate (per 100,000)",Crime Index,1157.8
Seymour,2013,Total Crime,"Rate (per 100,000)",Crime Index,1508
Sharon,2013,Total Crime,"Rate (per 100,000)",Crime Index,574.3
Shelton,2013,Total Crime,"Rate (per 100,000)",Crime Index,1153.7
Sherman,2013,Total Crime,"Rate (per 100,000)",Crime Index,74.2
Simsbury,2013,Total Crime,"Rate (per 100,000)",Crime Index,676.9
Somers,2013,Total Crime,"Rate (per 100,000)",Crime Index,400.2
South Windsor,2013,Total Crime,"Rate (per 100,000)",Crime Index,1552.4
Southbury,2013,Total Crime,"Rate (per 100,000)",Crime Index,944
Southington,2013,Total Crime,"Rate (per 100,000)",Crime Index,1993.6
Sprague,2013,Total Crime,"Rate (per 100,000)",Crime Index,1052
Stafford,2013,Total Crime,"Rate (per 100,000)",Crime Index,636.8
Stamford,2013,Total Crime,"Rate (per 100,000)",Crime Index,1844.1
Sterling,2013,Total Crime,"Rate (per 100,000)",Crime Index,947.4
Stonington,2013,Total Crime,"Rate (per 100,000)",Crime Index,2185.2
Stratford,2013,Total Crime,"Rate (per 100,000)",Crime Index,2851.2
Suffield,2013,Total Crime,"Rate (per 100,000)",Crime Index,769
Thomaston,2013,Total Crime,"Rate (per 100,000)",Crime Index,1439.2
Thompson,2013,Total Crime,"Rate (per 100,000)",Crime Index,757.7
Tolland,2013,Total Crime,"Rate (per 100,000)",Crime Index,490.1
Torrington,2013,Total Crime,"Rate (per 100,000)",Crime Index,2462.6
Trumbull,2013,Total Crime,"Rate (per 100,000)",Crime Index,1549.4
Union,2013,Total Crime,"Rate (per 100,000)",Crime Index,547.9
Vernon,2013,Total Crime,"Rate (per 100,000)",Crime Index,1056.8
Voluntown,2013,Total Crime,"Rate (per 100,000)",Crime Index,637.2
Wallingford,2013,Total Crime,"Rate (per 100,000)",Crime Index,1433.4
Warren,2013,Total Crime,"Rate (per 100,000)",Crime Index,453.2
Washington,2013,Total Crime,"Rate (per 100,000)",Crime Index,527
Waterbury,2013,Total Crime,"Rate (per 100,000)",Crime Index,4456.5
Waterford,2013,Total Crime,"Rate (per 100,000)",Crime Index,2735.5
Watertown,2013,Total Crime,"Rate (per 100,000)",Crime Index,2138.8
West Hartford,2013,Total Crime,"Rate (per 100,000)",Crime Index,2121.6
West Haven,2013,Total Crime,"Rate (per 100,000)",Crime Index,3267.7
Westbrook,2013,Total Crime,"Rate (per 100,000)",Crime Index,722.9
Weston,2013,Total Crime,"Rate (per 100,000)",Crime Index,358.7
Westport,2013,Total Crime,"Rate (per 100,000)",Crime Index,952.9
Wethersfield,2013,Total Crime,"Rate (per 100,000)",Crime Index,1467.7
Willington,2013,Total Crime,"Rate (per 100,000)",Crime Index,572.2
Wilton,2013,Total Crime,"Rate (per 100,000)",Crime Index,607.1
Winchester,2013,Total Crime,"Rate (per 100,000)",Crime Index,1830
Windham,2013,Total Crime,"Rate (per 100,000)",Crime Index,1663.9
Windsor,2013,Total Crime,"Rate (per 100,000)",Crime Index,1486.3
Windsor Locks,2013,Total Crime,"Rate (per 100,000)",Crime Index,1919.4
Wolcott,2013,Total Crime,"Rate (per 100,000)",Crime Index,1874.3
Woodbridge,2013,Total Crime,"Rate (per 100,000)",Crime Index,1075.9
Woodbury,2013,Total Crime,"Rate (per 100,000)",Crime Index,381.1
Woodstock,2013,Total Crime,"Rate (per 100,000)",Crime Index,577.4
Andover,2014,Total Crime,"Rate (per 100,000)",Crime Index,749.3
Ansonia,2014,Total Crime,"Rate (per 100,000)",Crime Index,2095.2
Ashford,2014,Total Crime,"Rate (per 100,000)",Crime Index,694.1
Avon,2014,Total Crime,"Rate (per 100,000)",Crime Index,1036.1
Barkhamsted,2014,Total Crime,"Rate (per 100,000)",Crime Index,542.9
Beacon Falls,2014,Total Crime,"Rate (per 100,000)",Crime Index,1192.8
Berlin,2014,Total Crime,"Rate (per 100,000)",Crime Index,1649.9
Bethany,2014,Total Crime,"Rate (per 100,000)",Crime Index,564.4
Bethel,2014,Total Crime,"Rate (per 100,000)",Crime Index,886.9
Bethlehem,2014,Total Crime,"Rate (per 100,000)",Crime Index,471.2
Bloomfield,2014,Total Crime,"Rate (per 100,000)",Crime Index,2676.8
Bolton,2014,Total Crime,"Rate (per 100,000)",Crime Index,359.1
Bozrah,2014,Total Crime,"Rate (per 100,000)",Crime Index,683.6
Branford,2014,Total Crime,"Rate (per 100,000)",Crime Index,2274.2
Bridgeport,2014,Total Crime,"Rate (per 100,000)",Crime Index,3820.8
Bridgewater,2014,Total Crime,"Rate (per 100,000)",Crime Index,415.6
Bristol,2014,Total Crime,"Rate (per 100,000)",Crime Index,2497.3
Brookfield,2014,Total Crime,"Rate (per 100,000)",Crime Index,1004.7
Brooklyn,2014,Total Crime,"Rate (per 100,000)",Crime Index,2035.4
Burlington,2014,Total Crime,"Rate (per 100,000)",Crime Index,428.3
Canaan,2014,Total Crime,"Rate (per 100,000)",Crime Index,703
Canterbury,2014,Total Crime,"Rate (per 100,000)",Crime Index,424.3
Canton,2014,Total Crime,"Rate (per 100,000)",Crime Index,825.9
Chaplin,2014,Total Crime,"Rate (per 100,000)",Crime Index,843.9
Cheshire,2014,Total Crime,"Rate (per 100,000)",Crime Index,833.7
Chester,2014,Total Crime,"Rate (per 100,000)",Crime Index,405.4
Clinton,2014,Total Crime,"Rate (per 100,000)",Crime Index,2041.6
Colchester,2014,Total Crime,"Rate (per 100,000)",Crime Index,456.1
Colebrook,2014,Total Crime,"Rate (per 100,000)",Crime Index,643.9
Columbia,2014,Total Crime,"Rate (per 100,000)",Crime Index,534.1
Connecticut,2014,Total Crime,"Rate (per 100,000)",Crime Index,2167.2
Cornwall,2014,Total Crime,"Rate (per 100,000)",Crime Index,726.1
Coventry,2014,Total Crime,"Rate (per 100,000)",Crime Index,1186.7
Cromwell,2014,Total Crime,"Rate (per 100,000)",Crime Index,2305.9
Danbury,2014,Total Crime,"Rate (per 100,000)",Crime Index,1908.9
Darien,2014,Total Crime,"Rate (per 100,000)",Crime Index,947.8
Deep River,2014,Total Crime,"Rate (per 100,000)",Crime Index,390.7
Derby,2014,Total Crime,"Rate (per 100,000)",Crime Index,2724
Durham,2014,Total Crime,"Rate (per 100,000)",Crime Index,357.7
East Granby,2014,Total Crime,"Rate (per 100,000)",Crime Index,1179.1
East Haddam,2014,Total Crime,"Rate (per 100,000)",Crime Index,694
East Hampton,2014,Total Crime,"Rate (per 100,000)",Crime Index,539.6
East Hartford,2014,Total Crime,"Rate (per 100,000)",Crime Index,2631.5
East Haven,2014,Total Crime,"Rate (per 100,000)",Crime Index,2529.3
East Lyme,2014,Total Crime,"Rate (per 100,000)",Crime Index,832
East Windsor,2014,Total Crime,"Rate (per 100,000)",Crime Index,4123.6
Eastford,2014,Total Crime,"Rate (per 100,000)",Crime Index,703
Easton,2014,Total Crime,"Rate (per 100,000)",Crime Index,404.2
Ellington,2014,Total Crime,"Rate (per 100,000)",Crime Index,484.3
Enfield,2014,Total Crime,"Rate (per 100,000)",Crime Index,1704.8
Essex,2014,Total Crime,"Rate (per 100,000)",Crime Index,378.9
Fairfield,2014,Total Crime,"Rate (per 100,000)",Crime Index,1989.1
Farmington,2014,Total Crime,"Rate (per 100,000)",Crime Index,2702.9
Franklin,2014,Total Crime,"Rate (per 100,000)",Crime Index,413.2
Glastonbury,2014,Total Crime,"Rate (per 100,000)",Crime Index,939.9
Goshen,2014,Total Crime,"Rate (per 100,000)",Crime Index,351.6
Granby,2014,Total Crime,"Rate (per 100,000)",Crime Index,861.4
Greenwich,2014,Total Crime,"Rate (per 100,000)",Crime Index,769.6
Griswold,2014,Total Crime,"Rate (per 100,000)",Crime Index,1122.8
Groton,2014,Total Crime,"Rate (per 100,000)",Crime Index,1907.6
Guilford,2014,Total Crime,"Rate (per 100,000)",Crime Index,1577.3
Haddam,2014,Total Crime,"Rate (per 100,000)",Crime Index,556.4
Hamden,2014,Total Crime,"Rate (per 100,000)",Crime Index,2647.1
Hampton,2014,Total Crime,"Rate (per 100,000)",Crime Index,323.8
Hartford,2014,Total Crime,"Rate (per 100,000)",Crime Index,5193.7
Hartland,2014,Total Crime,"Rate (per 100,000)",Crime Index,94.2
Harwinton,2014,Total Crime,"Rate (per 100,000)",Crime Index,897.7
Hebron,2014,Total Crime,"Rate (per 100,000)",Crime Index,352.4
Kent,2014,Total Crime,"Rate (per 100,000)",Crime Index,165.8
Killingly,2014,Total Crime,"Rate (per 100,000)",Crime Index,1208.8
Killingworth,2014,Total Crime,"Rate (per 100,000)",Crime Index,409.6
Lebanon,2014,Total Crime,"Rate (per 100,000)",Crime Index,494
Ledyard,2014,Total Crime,"Rate (per 100,000)",Crime Index,981.2
Lisbon,2014,Total Crime,"Rate (per 100,000)",Crime Index,3658
Litchfield,2014,Total Crime,"Rate (per 100,000)",Crime Index,934.8
Lyme,2014,Total Crime,"Rate (per 100,000)",Crime Index,752.2
Madison,2014,Total Crime,"Rate (per 100,000)",Crime Index,647.7
Manchester,2014,Total Crime,"Rate (per 100,000)",Crime Index,2930.5
Mansfield,2014,Total Crime,"Rate (per 100,000)",Crime Index,759.5
Marlborough,2014,Total Crime,"Rate (per 100,000)",Crime Index,365.3
Meriden,2014,Total Crime,"Rate (per 100,000)",Crime Index,2596.4
Middlebury,2014,Total Crime,"Rate (per 100,000)",Crime Index,881.8
Middlefield,2014,Total Crime,"Rate (per 100,000)",Crime Index,541.4
Middletown,2014,Total Crime,"Rate (per 100,000)",Crime Index,2064.6
Milford,2014,Total Crime,"Rate (per 100,000)",Crime Index,2577.5
Monroe,2014,Total Crime,"Rate (per 100,000)",Crime Index,803
Montville,2014,Total Crime,"Rate (per 100,000)",Crime Index,869.1
Morris,2014,Total Crime,"Rate (per 100,000)",Crime Index,576.6
Naugatuck,2014,Total Crime,"Rate (per 100,000)",Crime Index,1970.3
New Britain,2014,Total Crime,"Rate (per 100,000)",Crime Index,3232.4
New Canaan,2014,Total Crime,"Rate (per 100,000)",Crime Index,640.3
New Fairfield,2014,Total Crime,"Rate (per 100,000)",Crime Index,244.6
New Hartford,2014,Total Crime,"Rate (per 100,000)",Crime Index,950
New Haven,2014,Total Crime,"Rate (per 100,000)",Crime Index,5025.6
New London,2014,Total Crime,"Rate (per 100,000)",Crime Index,3741.2
New Milford,2014,Total Crime,"Rate (per 100,000)",Crime Index,1401.9
Newington,2014,Total Crime,"Rate (per 100,000)",Crime Index,2491
Newtown,2014,Total Crime,"Rate (per 100,000)",Crime Index,712.1
Norfolk,2014,Total Crime,"Rate (per 100,000)",Crime Index,571.4
North Branford,2014,Total Crime,"Rate (per 100,000)",Crime Index,1329.3
North Canaan,2014,Total Crime,"Rate (per 100,000)",Crime Index,1160.2
North Haven,2014,Total Crime,"Rate (per 100,000)",Crime Index,2375
North Stonington,2014,Total Crime,"Rate (per 100,000)",Crime Index,1139.6
Norwalk,2014,Total Crime,"Rate (per 100,000)",Crime Index,2132.8
Norwich,2014,Total Crime,"Rate (per 100,000)",Crime Index,2627.6
Old Lyme,2014,Total Crime,"Rate (per 100,000)",Crime Index,422.5
Old Saybrook,2014,Total Crime,"Rate (per 100,000)",Crime Index,1545.6
Orange,2014,Total Crime,"Rate (per 100,000)",Crime Index,2607.6
Oxford,2014,Total Crime,"Rate (per 100,000)",Crime Index,521.3
Plainfield,2014,Total Crime,"Rate (per 100,000)",Crime Index,920.9
Plainville,2014,Total Crime,"Rate (per 100,000)",Crime Index,2823.2
Plymouth,2014,Total Crime,"Rate (per 100,000)",Crime Index,1458.8
Pomfret,2014,Total Crime,"Rate (per 100,000)",Crime Index,574.1
Portland,2014,Total Crime,"Rate (per 100,000)",Crime Index,716.6
Preston,2014,Total Crime,"Rate (per 100,000)",Crime Index,647.2
Prospect,2014,Total Crime,"Rate (per 100,000)",Crime Index,871.1
Putnam,2014,Total Crime,"Rate (per 100,000)",Crime Index,2748.8
Redding,2014,Total Crime,"Rate (per 100,000)",Crime Index,515.9
Ridgefield,2014,Total Crime,"Rate (per 100,000)",Crime Index,264.7
Rocky Hill,2014,Total Crime,"Rate (per 100,000)",Crime Index,2000
Roxbury,2014,Total Crime,"Rate (per 100,000)",Crime Index,532.9
Salem,2014,Total Crime,"Rate (per 100,000)",Crime Index,737.3
Salisbury,2014,Total Crime,"Rate (per 100,000)",Crime Index,715
Scotland,2014,Total Crime,"Rate (per 100,000)",Crime Index,487.8
Seymour,2014,Total Crime,"Rate (per 100,000)",Crime Index,1061.3
Sharon,2014,Total Crime,"Rate (per 100,000)",Crime Index,574.7
Shelton,2014,Total Crime,"Rate (per 100,000)",Crime Index,1030.2
Sherman,2014,Total Crime,"Rate (per 100,000)",Crime Index,247.6
Simsbury,2014,Total Crime,"Rate (per 100,000)",Crime Index,718.2
Somers,2014,Total Crime,"Rate (per 100,000)",Crime Index,409.6
South Windsor,2014,Total Crime,"Rate (per 100,000)",Crime Index,1398.2
Southbury,2014,Total Crime,"Rate (per 100,000)",Crime Index,888.6
Southington,2014,Total Crime,"Rate (per 100,000)",Crime Index,2050
Sprague,2014,Total Crime,"Rate (per 100,000)",Crime Index,893.1
Stafford,2014,Total Crime,"Rate (per 100,000)",Crime Index,578.6
Stamford,2014,Total Crime,"Rate (per 100,000)",Crime Index,1918.3
Sterling,2014,Total Crime,"Rate (per 100,000)",Crime Index,672.8
Stonington,2014,Total Crime,"Rate (per 100,000)",Crime Index,1795
Stratford,2014,Total Crime,"Rate (per 100,000)",Crime Index,2618.1
Suffield,2014,Total Crime,"Rate (per 100,000)",Crime Index,594.7
Thomaston,2014,Total Crime,"Rate (per 100,000)",Crime Index,1137.1
Thompson,2014,Total Crime,"Rate (per 100,000)",Crime Index,747.6
Tolland,2014,Total Crime,"Rate (per 100,000)",Crime Index,497.6
Torrington,2014,Total Crime,"Rate (per 100,000)",Crime Index,1834.2
Trumbull,2014,Total Crime,"Rate (per 100,000)",Crime Index,1741.7
Union,2014,Total Crime,"Rate (per 100,000)",Crime Index,685.9
Vernon,2014,Total Crime,"Rate (per 100,000)",Crime Index,1240
Voluntown,2014,Total Crime,"Rate (per 100,000)",Crime Index,525.1
Wallingford,2014,Total Crime,"Rate (per 100,000)",Crime Index,1412.5
Warren,2014,Total Crime,"Rate (per 100,000)",Crime Index,831.4
Washington,2014,Total Crime,"Rate (per 100,000)",Crime Index,395.6
Waterbury,2014,Total Crime,"Rate (per 100,000)",Crime Index,4418.3
Waterford,2014,Total Crime,"Rate (per 100,000)",Crime Index,2386
Watertown,2014,Total Crime,"Rate (per 100,000)",Crime Index,2267.4
West Hartford,2014,Total Crime,"Rate (per 100,000)",Crime Index,2157.5
West Haven,2014,Total Crime,"Rate (per 100,000)",Crime Index,3014.8
Westbrook,2014,Total Crime,"Rate (per 100,000)",Crime Index,768.7
Weston,2014,Total Crime,"Rate (per 100,000)",Crime Index,330.6
Westport,2014,Total Crime,"Rate (per 100,000)",Crime Index,1240.8
Wethersfield,2014,Total Crime,"Rate (per 100,000)",Crime Index,1440
Willington,2014,Total Crime,"Rate (per 100,000)",Crime Index,747.7
Wilton,2014,Total Crime,"Rate (per 100,000)",Crime Index,338.7
Winchester,2014,Total Crime,"Rate (per 100,000)",Crime Index,1493.5
Windham,2014,Total Crime,"Rate (per 100,000)",Crime Index,1338.1
Windsor,2014,Total Crime,"Rate (per 100,000)",Crime Index,1621.7
Windsor Locks,2014,Total Crime,"Rate (per 100,000)",Crime Index,2015.3
Wolcott,2014,Total Crime,"Rate (per 100,000)",Crime Index,1956.8
Woodbridge,2014,Total Crime,"Rate (per 100,000)",Crime Index,1499
Woodbury,2014,Total Crime,"Rate (per 100,000)",Crime Index,402
Woodstock,2014,Total Crime,"Rate (per 100,000)",Crime Index,407.1
Andover,2015,Total Crime,"Rate (per 100,000)",Crime Index,312.5
Ansonia,2015,Total Crime,"Rate (per 100,000)",Crime Index,1943.9
Ashford,2015,Total Crime,"Rate (per 100,000)",Crime Index,417
Avon,2015,Total Crime,"Rate (per 100,000)",Crime Index,899.3
Barkhamsted,2015,Total Crime,"Rate (per 100,000)",Crime Index,489.1
Beacon Falls,2015,Total Crime,"Rate (per 100,000)",Crime Index,940.8
Berlin,2015,Total Crime,"Rate (per 100,000)",Crime Index,1782
Bethany,2015,Total Crime,"Rate (per 100,000)",Crime Index,659.3
Bethel,2015,Total Crime,"Rate (per 100,000)",Crime Index,914.2
Bethlehem,2015,Total Crime,"Rate (per 100,000)",Crime Index,277.5
Bloomfield,2015,Total Crime,"Rate (per 100,000)",Crime Index,2771.7
Bolton,2015,Total Crime,"Rate (per 100,000)",Crime Index,548.7
Bozrah,2015,Total Crime,"Rate (per 100,000)",Crime Index,563.6
Branford,2015,Total Crime,"Rate (per 100,000)",Crime Index,2342.8
Bridgeport,2015,Total Crime,"Rate (per 100,000)",Crime Index,3055.6
Bridgewater,2015,Total Crime,"Rate (per 100,000)",Crime Index,260
Bristol,2015,Total Crime,"Rate (per 100,000)",Crime Index,2065.4
Brookfield,2015,Total Crime,"Rate (per 100,000)",Crime Index,896.8
Brooklyn,2015,Total Crime,"Rate (per 100,000)",Crime Index,1376
Burlington,2015,Total Crime,"Rate (per 100,000)",Crime Index,255
Canaan,2015,Total Crime,"Rate (per 100,000)",Crime Index,263.9
Canterbury,2015,Total Crime,"Rate (per 100,000)",Crime Index,404.5
Canton,2015,Total Crime,"Rate (per 100,000)",Crime Index,536.9
Chaplin,2015,Total Crime,"Rate (per 100,000)",Crime Index,633.7
Cheshire,2015,Total Crime,"Rate (per 100,000)",Crime Index,675
Chester,2015,Total Crime,"Rate (per 100,000)",Crime Index,380.4
Clinton,2015,Total Crime,"Rate (per 100,000)",Crime Index,2290.2
Colchester,2015,Total Crime,"Rate (per 100,000)",Crime Index,424
Colebrook,2015,Total Crime,"Rate (per 100,000)",Crime Index,386.8
Columbia,2015,Total Crime,"Rate (per 100,000)",Crime Index,458.4
Connecticut,2015,Total Crime,"Rate (per 100,000)",Crime Index,2014
Cornwall,2015,Total Crime,"Rate (per 100,000)",Crime Index,462.7
Coventry,2015,Total Crime,"Rate (per 100,000)",Crime Index,767.3
Cromwell,2015,Total Crime,"Rate (per 100,000)",Crime Index,2529.7
Danbury,2015,Total Crime,"Rate (per 100,000)",Crime Index,1932.5
Darien,2015,Total Crime,"Rate (per 100,000)",Crime Index,1118.2
Deep River,2015,Total Crime,"Rate (per 100,000)",Crime Index,370.5
Derby,2015,Total Crime,"Rate (per 100,000)",Crime Index,3010.3
Durham,2015,Total Crime,"Rate (per 100,000)",Crime Index,329.4
East Granby,2015,Total Crime,"Rate (per 100,000)",Crime Index,900.2
East Haddam,2015,Total Crime,"Rate (per 100,000)",Crime Index,535.2
